archetype,metric_dist,configured_lag,blend_weight,n_entities,n_periods,seed,peak_lag_per_entity_median,peak_magnitude,unlagged_magnitude
sigmoid,poisson,10,0.6,100,120,9004,3.0,0.6288402675695418,0.5566067783804736
sigmoid,poisson,10,0.8,100,120,9000,4.0,0.6315543417743346,0.5769156675232148
sigmoid,poisson,10,0.8,100,120,9001,3.0,0.6409765965217797,0.5602501044582897
sigmoid,poisson,10,0.8,100,120,9002,3.5,0.6383942648330281,0.5573482270590511
sigmoid,poisson,10,0.8,100,120,9003,4.0,0.6391986695934753,0.5478697645139687
sigmoid,poisson,10,0.8,100,120,9004,2.0,0.6284929216204482,0.5667224768570647
sigmoid,poisson,10,1.0,100,120,9000,4.0,0.6341805356107006,0.56405525798464
sigmoid,poisson,10,1.0,100,120,9001,4.0,0.6347260557154604,0.5713484240429978
sigmoid,poisson,10,1.0,100,120,9002,3.0,0.6301102344213956,0.5675642506687102
sigmoid,poisson,10,1.0,100,120,9003,4.0,0.6370631358994936,0.573261843362586
sigmoid,poisson,10,1.0,100,120,9004,4.0,0.637845691343216,0.559740929702808
sigmoid,poisson,30,0.6,100,120,9000,5.0,0.6180515320551655,0.5340636075807097
sigmoid,poisson,30,0.6,100,120,9001,5.0,0.6183252270717139,0.5402772675236607
sigmoid,poisson,30,0.6,100,120,9002,5.0,0.6141592921162726,0.5393455853887962
sigmoid,poisson,30,0.6,100,120,9003,4.0,0.6274805017687421,0.5373060971806516
sigmoid,poisson,30,0.6,100,120,9004,4.0,0.6210633299567936,0.5237003694428524
sigmoid,poisson,30,0.8,100,120,9000,5.0,0.6286264300575043,0.5502198311390915
sigmoid,poisson,30,0.8,100,120,9001,6.0,0.6236587649935041,0.5361763836088729
sigmoid,poisson,30,0.8,100,120,9002,4.5,0.6099398958144877,0.5330555508848602
sigmoid,poisson,30,0.8,100,120,9003,5.0,0.6281706928571187,0.5331842115956977
sigmoid,poisson,30,0.8,100,120,9004,5.5,0.6262910093187024,0.5160233113483678
sigmoid,poisson,30,1.0,100,120,9000,6.0,0.6320834559798282,0.520303988846142
sigmoid,poisson,30,1.0,100,120,9001,8.0,0.6230238184908468,0.5276968106060381
sigmoid,poisson,30,1.0,100,120,9002,10.0,0.6207443123598003,0.5064324653704968
sigmoid,poisson,30,1.0,100,120,9003,9.0,0.6285997580176917,0.5102328536074051
sigmoid,poisson,30,1.0,100,120,9004,7.0,0.634995064870771,0.5144641899449293
