configured,dist_a,dist_b,n_entities,n_metrics,n_periods,seed,observed,error
-0.7,lognorm,poisson,100,2,24,7001,-0.6388987282612956,0.06110127173870439
-0.7,lognorm,poisson,100,2,24,7002,-0.6219404169315619,0.07805958306843808
-0.7,lognorm,poisson,100,2,24,7003,-0.6452513604369348,0.05474863956306519
-0.7,lognorm,poisson,100,2,24,7004,-0.6302764685981767,0.0697235314018233
-0.3,lognorm,poisson,100,2,24,7000,-0.2654065349040978,0.034593465095902165
-0.3,lognorm,poisson,100,2,24,7001,-0.2862755367799727,0.013724463220027294
-0.3,lognorm,poisson,100,2,24,7002,-0.287096406346662,0.012903593653337986
-0.3,lognorm,poisson,100,2,24,7003,-0.31264642386024855,0.012646423860248557
-0.3,lognorm,poisson,100,2,24,7004,-0.27621223239750947,0.023787767602490517
0.0,lognorm,poisson,100,2,24,7000,0.02579342669951335,0.02579342669951335
0.0,lognorm,poisson,100,2,24,7001,0.0018050369165786674,0.0018050369165786674
0.0,lognorm,poisson,100,2,24,7002,-0.00958525672026879,0.00958525672026879
0.0,lognorm,poisson,100,2,24,7003,-0.025433486001089696,0.025433486001089696
0.0,lognorm,poisson,100,2,24,7004,0.02554277266648446,0.02554277266648446
0.3,lognorm,poisson,100,2,24,7000,0.3355340373143356,0.03553403731433563
0.3,lognorm,poisson,100,2,24,7001,0.3037988733186786,0.0037988733186786194
0.3,lognorm,poisson,100,2,24,7002,0.2908229420271722,0.009177057972827807
0.3,lognorm,poisson,100,2,24,7003,0.283767356460631,0.016232643539368985
0.3,lognorm,poisson,100,2,24,7004,0.32115353105251015,0.021153531052510166
0.7,lognorm,poisson,100,2,24,7000,0.7095858430746239,0.009585843074623956
0.7,lognorm,poisson,100,2,24,7001,0.6950622031121235,0.004937796887876433
0.7,lognorm,poisson,100,2,24,7002,0.6725037034083328,0.02749629659166719
0.7,lognorm,poisson,100,2,24,7003,0.6762049148387433,0.023795085161256613
0.7,lognorm,poisson,100,2,24,7004,0.6912423828464811,0.00875761715351886
-0.7,lognorm,normal,100,2,24,7000,-0.6599347266709739,0.040065273329026097
-0.7,lognorm,normal,100,2,24,7001,-0.6591376801434434,0.04086231985655653
-0.7,lognorm,normal,100,2,24,7002,-0.6624582431141798,0.03754175688582018
-0.7,lognorm,normal,100,2,24,7003,-0.6705333641229764,0.029466635877023584
-0.7,lognorm,normal,100,2,24,7004,-0.6563035787963636,0.04369642120363637
-0.3,lognorm,normal,100,2,24,7000,-0.2800711526756861,0.01992884732431388
-0.3,lognorm,normal,100,2,24,7001,-0.28228816198075063,0.01771183801924936
-0.3,lognorm,normal,100,2,24,7002,-0.2891402344618479,0.0108597655381521
-0.3,lognorm,normal,100,2,24,7003,-0.3080018399500648,0.008001839950064815
-0.3,lognorm,normal,100,2,24,7004,-0.2784102231109254,0.021589776889074597
0.0,lognorm,normal,100,2,24,7000,0.0010549236848226766,0.0010549236848226766
0.0,lognorm,normal,100,2,24,7001,0.0004429835283464535,0.0004429835283464535
0.0,lognorm,normal,100,2,24,7002,-0.008443520732818208,0.008443520732818208
0.0,lognorm,normal,100,2,24,7003,-0.028290050472850332,0.028290050472850332
0.0,lognorm,normal,100,2,24,7004,0.007046241808007624,0.007046241808007624
0.3,lognorm,normal,100,2,24,7000,0.27942186996977203,0.02057813003022796
0.3,lognorm,normal,100,2,24,7001,0.2828740021150284,0.0171259978849716
0.3,lognorm,normal,100,2,24,7002,0.27356967916832314,0.026430320831676846
0.3,lognorm,normal,100,2,24,7003,0.25829988669839604,0.04170011330160395
0.3,lognorm,normal,100,2,24,7004,0.29177744591531246,0.008222554084687528
0.7,lognorm,normal,100,2,24,7000,0.6504697379333138,0.049530262066686204
0.7,lognorm,normal,100,2,24,7001,0.6587155080030531,0.04128449199694684
0.7,lognorm,normal,100,2,24,7002,0.6526043819373527,0.04739561806264725
0.7,lognorm,normal,100,2,24,7003,0.6473918845853137,0.05260811541468624
0.7,lognorm,normal,100,2,24,7004,0.6660621861370234,0.03393781386297656
-0.7,lognorm,lognorm,100,2,24,7000,-0.573373688660891,0.12662631133910895
-0.7,lognorm,lognorm,100,2,24,7001,-0.5361467077084072,0.16385329229159273
-0.7,lognorm,lognorm,100,2,24,7002,-0.5634291170720739,0.13657088292792607
-0.7,lognorm,lognorm,100,2,24,7003,-0.55262785793252,0.14737214206747995
-0.7,lognorm,lognorm,100,2,24,7004,-0.5710751091420393,0.12892489085796066
-0.3,lognorm,lognorm,100,2,24,7000,-0.25246903822928085,0.04753096177071914
-0.3,lognorm,lognorm,100,2,24,7001,-0.2531562954076877,0.046843704592312296
-0.3,lognorm,lognorm,100,2,24,7002,-0.2542581579595757,0.04574184204042431
-0.3,lognorm,lognorm,100,2,24,7003,-0.26766527929183137,0.03233472070816862
-0.3,lognorm,lognorm,100,2,24,7004,-0.25344144365185906,0.046558556348140934
0.0,lognorm,lognorm,100,2,24,7000,-0.002449588426183503,0.002449588426183503
0.0,lognorm,lognorm,100,2,24,7001,-0.010148420622131846,0.010148420622131846
0.0,lognorm,lognorm,100,2,24,7002,-0.011160189404625665,0.011160189404625665
0.0,lognorm,lognorm,100,2,24,7003,-0.03800986789625219,0.03800986789625219
0.0,lognorm,lognorm,100,2,24,7004,0.015302735872058817,0.015302735872058817
